,energy,id,tempo,valence,artista,letra,link,nome
90,0.372,6Qb7gtV6Q4MnUjSbkFcopl,101.684,0.293,Paul Simon,"The problem is all inside your head she said to me  
The answer is easy if you take it logically  
I'd like to help you in your struggle to be free  
There must be fifty ways to leave your lover  
  
She said it's really not my habit to intrude  
Furthermore, I hope my meaning won't be lost or misconstrued  
But I'll repeat myself at the risk of being crude  
There must be fifty ways to leave your lover  
Fifty ways to leave your lover  
  
You just slip out the back, Jack  
Make a new plan, Stan  
You don't need to be coy, Roy  
Just get yourself free  
Hop on the bus, Gus  
You don't need to discuss much  
Just drop off the key, Lee  
And get yourself free  
  
She said it grieves me so to see you in such pain  
I wish there was something I could do to make you smile again  
I said I appreciate that and would you please explain  
About the fifty ways  
  
She said why don't we both just sleep on it tonight  
And I believe in the morning you'll begin to see the light  
And then she kissed me and I realized she probably was right  
There must be fifty ways to leave your lover  
Fifty ways to leave your lover  
  
You just slip out the back, Jack  
Make a new plan, Stan  
You don't need to be coy, Roy  
Just get yourself free  
Hop on the bus, Gus  
You don't need to discuss much  
Just drop off the key, Lee  
And get yourself free

",/p/paul+simon/50+ways+to+leave+your+lover_20105950.html,50 Ways To Leave Your Lover
99,0.895,3H8TWRt6brPtBSx7hiW4Fh,103.909,0.636,Allman Brothers Band,"by Willie Dixon  
Copyright  
Make a man go crazy, a woman wear her dress so tight  
Make a man go crazy, a woman wear her dress so tight  
Must be the same thing make a tom cat fight all night.  
Make you feel so good when your baby get her evening gown  
Make you feel so good when your baby get her evening gown  
Must be the same thing make a preacher lay his bible down.  
Woah that same thing,  
Woah that same thing,  
Tell me who is to blame,  
Whole world fighting about that same thing.  
What makes all these men chase a big leg woman down,  
What makes all these men chase a big leg woman down,  
Must be the same thing make a poor dog a hurtin' hound.  
Woah that same thing,  
Woah that same thing,  
Tell me who is to blame,  
Whole world fighting about that same thing.  
Oh that same thing,  
Woah that same thing,  
Tell me who is to blame,  
Whole world fighting about that same thing.

",/a/allman+brothers+band/the+same+thing_20006485.html,The Same Thing
108,0.988,4pLFAuIQFlhOh1DBKavnA1,125.868,0.219,Iggy Pop,"Skull rings  
Fast cars  
Hot chicks  
Money  
  
Skull rings  
Fast cars  
Hot chicks  
Fancy things  
  
The touch of a hand in the wasteland  
You're walking asleep and dreaming cheap  
A bird's wing don't beat for free  
You're freezing cold and your family  
  
Skull rings  
Fast cars  
Hot chicks  
Money  
  
Skull rings  
Fast cars  
Hot chicks  
Fancy things  
  
Fingers on fire to do what's bad  
Ring on the finger is a skull man  
Strong as a bar of steel  
Weakness is that you can't feel  
  
Skull rings  
Fast cars  
Hot chicks  
Money  
  
Skull rings  
Fast cars  
Hot chicks  
Fancy things  
  
My life is dirtied, my mind is loaded  
I'm feeling and breathing and fighting  
To see  
People get ready now  
Baby come on give your heart to me  
  
Skull rings  
Fast cars  
Hot chicks  
Money  
  
Skull rings  
Fast cars  
Hot chicks  
Fancy things

",/i/iggy+pop/skull+ring_20228029.html,Skull Ring
117,0.74,2bDjAL7gXRi7hMAXvLrOGP,77.942,0.608,Everlast,"Her skin is salty sweet, she wore sandals on her feet  
Side by side we fell asleep in her mother's bed  
She stepped inside of me, she said don't ever lie to me  
This heart of mine can be yours  
Yea that's what she said  
But I just played the role, broke the heart I stole  
Cause I was young and dumb and fucked up in the head  
  
[Chorus ]  
Do you want to be loved for real, do you want to be loved for real  
Do you want to be...loved, (Yes, I want to be loved for real)  
For real, (Do you want to be in love for real)  
(Yes, I want to be in love for real)  
  
Now, I'm down by the river, taking off my shoes  
Jump in the water, wash away these blues  
Now out into the ocean, the current takes hold  
Words already been spoken, tales already been told  
Heart's already been broken, wounds already been healed  
Do you wannabe loved, do you want to  
Do you wannabe love for real.  
  
[Chorus (2x)]  
Her eyes were hazel brown, she laughed the sweetest sound  
And I just loved the way she lit up when she spoke  
She help to ease my pain, she stayed through pouring rain  
And I gave her all that she could take till she broke  
She fit me like a glove, she taught me how to love  
And for some ass I watched it all go up in smoke Chorus (4x)

",/e/everlast/love+for+real_20052124.html,Love For Real
126,0.968,5ylhieG5fJqUJRiWz5uY32,133.038,0.45,Rod Stewart,"[Chorus]  
Beautiful morning  
On this beautiful morning  
On this beautiful morning  
On this beautiful morning  
Here with you  
  
Driving down the highway on a Friday evening  
Me and my lady had stopped for leaving  
Early stop leave the city behind us  
Good to be the kid that cares alot  
We got just us  
  
We going Starbucks a doner and a coffee  
That's when I notice it was all around me  
And do today and there's gotta be a winner  
Rolling out the summer we're tired of winter  
  
Still left on we're climbing all of our years  
Still had hair on a true to fear  
Doves are singing not a cloud in the sky  
Oh my God, ain't it good to be alive  
  
[Chorus]  
  
No hesitation and we check into our hotel  
Down about a woosh about a mile at the disco  
Up toss the bed in a room that I seen you  
I just sat here loving that person in me  
  
Don't you worry 'cause I'm back in my case  
Get down to the beach and let the sun on your face  
Doves are singing not a cloud in the sky  
Oh my God, ain't it good to be alive  
  
[Chorus]  
  
'Cause we keep tryin going fast  
Let's make everything last, oh ye  
Well singing , dancing , jumping around  
We cook, get drunk we all fall down  
Go through love, no regrets  
  
[Chorus: x2]

",/r/rod+stewart/beautiful+morning_21059260.html,Beautiful Morning
135,0.823,2eWrSPHhmUBj5PstcNGRN2,147.822,0.298,Hillsong,"Verse 1  
This is my revelation  
Christ Jesus crucified  
Salvation through repentance  
At the cross on which He died  
  
Verse 2  
Now here my absolution  
Forgiveness for my sin  
And I sink beneath the waters  
That Christ was buried in  
  
Chorus  
I will rise  
I will rise  
As Christ was raised to life  
Now in Him  
Now in Him I live  
  
Verse 3  
I stand a new creation  
Baptised in blood and fire  
No fear of condemnation  
By faith I'm justified  
  
Bridge  
I rise as You are risen  
Declare Your rule and reign  
My life confess Your Lordship  
And glorify Your Name  
Your word it stands eternal  
Your kingdom knows no end  
Your praise goes on forever  
And on and on again  
No pow'are can stand against You  
No curse assault Your throne  
No one can steal Your glory  
For it is Yours alone  
I stand to sing Your praises  
I stand to testify  
For I was dead in my sin  
But now I rise

",/h/hillsong/beneath+the+waters_21029615.html,Beneath The Waters
144,0.261,4p2Il3PinEajYSbbB4kt6i,85.747,0.171,Enya,"You're everything my dreams have seen.  
But, what are dreams?  
I'm walking where my dreams have been.  
But, what are dreams?  
  
Can I believe these spells I feel?  
I'm wary now.  
Can I believe, or is this real?  
I'm wary now.  
  
Just like some new-born creature, I.  
What are dreams?  
A child in need of love and care.  
Tell me what, tell me what, are dreams?  
  
Can I believe these spells I feel?  
I'm wary now.  
Can I believe, or is this real?  
I'm wary now.  
  
Just like some new-born creature, I.  
What are dreams?  
A child in need of love and care.  
Tell me what, tell me what, are dreams?

",/e/enya/dreams_20188533.html,Dreams
153,0.437,6Y8nFxTjF5X3Gk0rFeJ27T,136.607,0.177,Michael W. Smith,"I don't know how to breathe  
I don't know how to leave You  
I don't know what to say  
And who am I to say it anyway?  
  
But there is always a song  
And I'll try to sing along over You  
I can hear it being sung  
All of Heaven sings along over You  
  
I hardly know Your name  
I didn't come to save You  
Your smile just broke my heart  
Now You're in my heart  
I know You'll never leave me  
  
But there is always a song  
And I'll try to sing along over You  
I can hear it being sung  
All of Heaven sings along over You  
  
But there is always a song  
And I'll try to sing along over You  
  
Sing, sing like you've never sung  
Sing for your joy to come  
Sing, sing like you've never sung  
Sing of my joy to come  
  
There is always a song  
And I'll try to sing along over You  
I can hear it being sung  
All of Heaven sings along over You  
  
There is always a song  
And I'll try to sing along over You  
There is always a song  
And I'll try to sing along over You  
Always for You

",/m/michael+w+smith/there+is+always+a+song_20836246.html,There Is Always A Song
162,0.969,50ZN4SwTTHNA3AlpLwID40,82.399,0.764,Unseen,"ADD Disorder  
ADD Bored To Death  
ADD Disorder  
ADD Bored to death  
  
I can't sit still for a minute  
Most impatient kid on the planet  
got ADD and i ain't kiddin'  
gonna overdose on my ritalin  
  
ADD Disorder  
ADD Bored to death  
ADD disorder  
ADD bored to death  
  
High is fucking Unreal  
Six hours of sitting still  
always having a teacher tell you what to do  
(Insert your high schools name here), Fuck you  
  
ADD Disorder  
ADD Bored to death  
ADD disorder  
ADD bored to death  
  
Sitting out in the rain  
where the fuck is the train?  
can never do anything for too long  
now I'm sick of this song  
  
ADD Disorder  
ADD Bored to death  
ADD disorder  
ADD bored to death

",/u/unseen/add_10161807.html,A.D.D.
171,0.668,3yXf765cfYpB9pVF7U7FJh,131.262,0.805,INXS,"You might know of the original sin  
And you might know how to play with fire  
But did you know of the murder committed  
In the name of love you thought what a pity  
  
Dream on white boy  
Dream on black girl  
Then wake up to a brand new day  
To find your dreams are washed away  
  
There was a time when I did not care  
And there was a time when the facts did stand  
There is a dream and held by me  
Well I'm sure you had to see it's up in arms  
  
Dream on white boy  
Dream on black girl  
Then wake up to a brand new day  
To find your dreams have washed away  
  
You might know of the original sin  
And you might know how to play with fire  
But did you know of the murder committed  
In the name of love you thought what a pity  
  
Dream on white boy  
Dream on black girl  
Then wake up to a brand new day  
Dream on black boy  
Dream on white girl  
Then wake up to a brand new day  
Dream on black boy  
Dream on white girl  
Then wake up to a brand new day  
To find your dreams are washed away  
  
Dream on, to play with fire  
White boy, black girl  
Dream on, in the name of love  
Black boy, white girl  
White boy, black girl  
Black boy, white girl  
  
Dream on  
The name of love, yeah  
You thought what a pity  
  
Original sin

",/i/inxs/original+sin_20067860.html,Original Sin
180,0.845,4psrmqk4KXi8jwgGRRsLKO,120.02,0.395,Nazareth,"Driftin' in the streetlight  
Dancin' in the twilight zone  
Dreamin' of a spotlight  
Don't want to go back home  
  
Joe and his buddies are hangin' around  
  
Bad reputation all over the town  
All they ever gonna do  
Is talk, talk, talk, talk  
  
Lucy and Debbie and Donna and Joyce  
Bad reputation the same as the boys  
All they ever want to do  
Is walk, walk, walk, walk  
  
Standin' on the sidwalk  
Starin' at the storefront signs  
Waitin' at the bus stop, truck stop  
The hurry up and wait stop  
They don't mind  
  
Tony and Billy and Johnny and Sam  
Struttin' and showin' they don't give a damn  
All they ever gonna do  
Is talk, talk, talk, talk  
  
Cindy and Sunny and Sally and Sue  
Thinkin' they're somethin', they're better than you  
All they ever want to do  
Is walk, walk, walk, walk  
  
They're lookin' forward and movin' backwards fast  
They gotta have a future  
'Cause sure as hell ain't got no past  
But in the meantime  
  
They're lookin' forward and movin' backwards fast  
They gotta have a future  
'Cause sure as hell they got no past  
  
They always have a good time  
They never get a wake up call  
They're hangin' out at maisies and daisies  
They always love the crazies  
That ain't all  
  
Tony and Billy and Johnny and Sam  
Struttin' and showin' they don't give a damn  
But all they ever gonna do  
Is talk, talk, talk, talk  
  
Cindy and Sunny and Sally and Sue  
Thinkin' they're somethin', they're better than you  
All they ever want to do  
Is walk, walk, walk, walk

",/n/nazareth/talk+talk_20098439.html,Talk Talk
189,0.233,2a7NRfaVMfob2BvkBmOxA0,107.146,0.0784,Counting Crows,"I am colorblind  
Coffee black and egg white  
Pull me out from inside  
I am ready, I am ready, I am ready,  
I am taffy stuck and tongue tied  
Stutter shook and uptight  
Pull me out from inside  
I am ready, I am ready, I am ready,  
I am fine  
  
I am covered in skin  
No one gets to come in  
Pull me out from inside  
I am folded and unfolded and unfolding  
I am colorblind  
Coffee black and egg white  
Pull me out from inside  
I am ready, I am ready, I am ready,  
I am fine  
I am fine  
I am fine

",/c/counting+crows/colorblind_20033518.html,Colorblind
198,0.748,3CBXrj7xtIgXY1rxaAZoqz,119.072,0.519,Olly Murs,"Too much time and too much space looking for the truth  
Mountains you have had to climb, valleys you've been through  
I don't know about where you've been or where you're going to  
I will get lost with you  
  
Oh, father don't you worry, I've never let you down  
Oh, mother when you need me, I'll always be around  
Sister, it's hard to see you struggle like you do  
I will get lost with you  
  
We all get lonely  
Trying to find a place where we should be  
Trying to find someone to set us free  
There are times a friend is all you need  
We all get lonely, so stick with me  
  
Oh yeah, so stick with me  
We all get lonely, so stick with me  
  
Too much blame and too much shame, none of it is true  
All the weight of your regrets, we all got a few  
It's not too much to carry if you let me carry too, yeah  
I will be there with you  
  
Oh, father don't you worry, I've never let you down  
Oh, mother when you need me, I'll always be around  
Sister, it's hard to see you struggle like you do  
But I'll be there with you  
  
We all get lonely  
Trying to find a place where we should be  
Trying to find someone to set us free  
There are times a friend is all you need  
We all get lonely, so stick with me  
  
We all get lonely  
We all get lonely  
We all get lonely  
Come on baby!  
  
Oh, father don't you worry, I've never let you down  
Oh, mother when you need me, I'll always be around  
Sister, it's hard to see you struggle like you do  
But I'll be there with you  
  
We all get lonely  
Trying to find a place where we should be  
Trying to find someone to set us free  
There are times a friend is all you need  
We all get lonely, so stick with me  
  
So stick with me, oh yeah

",/o/olly+murs/stick+with+me_21111074.html,Stick With Me
207,0.403,6lvHkPKsL8sHeCw4cAR7tw,193.563,0.688,LL Cool J,"Yo Yvette, there's a lot of rumors goin' around  
They're so bad, baby you might have to skip town  
See something's smellin' fishy and they say it's you  
All I know is that you made it with the whole damn crew  
They say you're a man-eater during the full moon  
Mascot of the senior boys' locker room  
They said Yvette walked in, there wasn't too much rap  
Her reputation got bigger, and so did her gap  
Cause girl your momma should of taught you better  
I'ma sit down and write you a long letter.  
  
[Chorus]  
Dear Yvette  
Dear Yvette  
Dear Yvette  
Dear Yvette  
  
I'm glad you ain't my sister, then again if you was  
I'd have to treat you like you was my distant cause  
I'm not a news reporter, I don't mean to assume  
What should I think? I seen ya comin' out the men's bathroom  
You wasn't in there alone, wasn't usin' the phone  
The door was locked for twenty minutes, all I heard was ""Moan"".  
  
[Chorus]  
  
I don't really know if the story is so  
I can either ask Curly, or Larry or Moe  
Or Earl, Shabazz, Lou, Mookie or Joe  
Like Santa Claus said, you're a ho-ho-ho  
In every disco you say hello  
Like you're a little angel, but we all know  
Since you was eleven you been actin' this way  
You always got in bed when you wanted to play  
You're a freak, you think you're Lady Godiva  
Some freaks are live, but Yvette you're liver.  
  
[Chorus]  
  
You're a back-seat queen, a elevator pro  
A high-powered body makes your Levis grow  
See the stories I've heard, they could amaze  
I heard she did it on a motorcycle back in the days  
So calm down freak, get a G.E.D.  
That's a General Education on Decency  
One day you'll see, and agree with me  
Unless you're gonna be a freak until you're 93  
For you there's no fee, everything is free  
This is from me to you, not you to me  
Every night is your night, your leather pants are tight  
You try to shake your butt with all your might  
I don't really wanna dis nobody  
You might think I had a little too much Bacardi  
But that's not the problem, the problem's Yvette  
How bad can a girl's reputation get?  
See she's the kinda girl all the homeboys met  
If you're desperate ask Yvette, cause she'll say ""Bet"".  
  
[Chorus]  
  
B-Boys are hard on the boulevard  
The Reverend at the church said you was barred  
Homeboys on the block love you a lot  
You're a real famous freak whether you like it or not  
So before you start walking and your beak starts squawkin'  
Let me explain to you who is talkin'  
I'm L.L. Cool J from around the way  
You boogie down to my records almost every day  
Go a hundred miles an hour when you're standin' still  
You're faster than my Caddy when it's goin' downhill  
Won't forget that day in the Y.M.C.A.  
The guy at the desk said it was OK  
For you to come inside cuz he knew you'd stay  
Greg G. and Garfield yelled ""Hooray""  
  
[Chorus: x2]

",/l/ll+cool+j/dear+yvette_20081108.html,Dear Yvette
216,0.493,7cvMbpHzGJg28u6bb47Iba,127.009,0.45,The Jam,"High town - high street connections  
With clothes at the top of my list  
You could steal things from the jewelry department  
But you can't take kind or steal a kiss  
As I flit from shop window to window  
I'm trying to pick up a friendly bargin  
But its not like the adverts all make out  
And there's no one to greet you as a friend  
  
I dress myself for the part  
I smile but it just don't work  
Something about my face - must just be the wrong shape  
I better try another brand pretty quick  
  
I'm haunted by the colours and holding a reminder that I must be inadequate  
High town - high street connection  
With clothes at the top of my list

",/j/jam/shopping_20068861.html,Shopping
225,0.761,1Kqpas8RFkPrhhHUciTZzt,110.397,0.64,Foreigner,"Two in a row, everybody knows  
At the green light you rev it on the red line  
Been waitin' all week to get my wheels on the street  
Get my hands on the wheel, slide down in the seat  
  
She's wearin' new colors and runnin' pretty good  
I got four hundred horses tucked under the hood  
But there's no need to panic, it's under control  
We're aerodynamic and ready to roll  
  
Rev on the red line  
You're on your own  
Rev on the red line  
Just let it go  
  
Runnin' all night on lake avenue  
It's a piece of cake  
If you know what to do  
You've got to lose a few  
'Til the stakes get high  
When the odds are right  
You just blow by  
  
And make no mistake, there's women who just wait  
For the man and machine with the best time  
  
Rev on the red line  
You're on your own  
Feels like a lifetime  
But soon you'll know  
  
Wasn't long ago I could've lost my wheels  
Had to outrun the law, it was no big deal  
I guess they had a grudge, they were hot on my tracks  
I had to pay off the judge to get my license back  
Now I need to pin those needles, got to feel that heat  
Hear my motor screamin' while I'm tearin' up the street  
  
Rev on the red line  
You're on your own  
Rev on the red line  
Just let it go  
  
Rev on, rev on  
Rev on, rev on  
  
Don't think I'll ever learn to slow down  
Rev on, you'll still be here and I'll be gone  
Rev on, rev on

",/f/foreigner/rev+on+the+red+line_20054922.html,Rev On The Red Line
